,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.8232269970999209,0.8236760124610591,0.7733255337818076,0.7977070448031377,0.8315093451079616
1,avg,0.1,0.8397105885626827,0.8463080521216171,0.7854263565891473,0.8147314248954648,0.8315093451079616
2,avg,0.15,0.8545963464938127,0.8647205411178356,0.8000658761528326,0.8311377245508982,0.8315093451079616
3,avg,0.2,0.8683469004383219,0.878030303030303,0.8170602749383151,0.8464487858316597,0.8315093451079616
4,avg,0.25,0.8797795959258641,0.8914354644149578,0.8312710911136107,0.860302677532014,0.8315093451079616
5,avg,0.3,0.8894454382826475,0.9047415634344297,0.8428173497811381,0.8726823238566132,0.8315093451079616
6,avg,0.35000000000000003,0.9007898285494125,0.9138952164009112,0.8602058319039451,0.8862381267947869,0.8315093451079616
7,avg,0.4,0.9096222083072427,0.9211943220753793,0.8737233054781801,0.8968310698117703,0.8315093451079616
8,avg,0.45,0.9191712204007286,0.9277171086843474,0.892,0.9095080295692073,0.8315093451079616
9,avg,0.5,0.9296268469822189,0.9349775784753364,0.9099836333878887,0.9223113077135748,0.8315093451079616
10,avg,0.55,0.9371174179187535,0.942296252230815,0.9246935201401051,0.9334119033588686,0.8315093451079616
11,avg,0.6,0.947401377582968,0.9474695707879565,0.9450479233226837,0.946257197696737,0.8315093451079616
12,avg,0.65,0.954561717352415,0.9520500347463516,0.9593837535014006,0.9557028252528775,0.8315093451079616
13,avg,0.7000000000000001,0.9653589315525877,0.9642313546423136,0.9723714504988488,0.9682842949942683,0.8315093451079616
14,avg,0.75,0.971457185778668,0.9730412805391744,0.9788135593220338,0.9759188846641318,0.8315093451079616
15,avg,0.8,0.9787100814026299,0.9806949806949807,0.9864077669902913,0.9835430784123911,0.8315093451079616
16,avg,0.85,0.9841402337228714,0.9852941176470589,0.9931584948688712,0.9892106757524134,0.8315093451079616
17,avg,0.9,0.9899874843554443,0.99002849002849,0.9985632183908046,0.994277539341917,0.8315093451079616
18,avg,0.9500000000000001,0.9975,0.9974937343358395,1.0,0.998745294855709,0.8315093451079616
19,median,0.05,0.8238861059847087,0.8258970358814353,0.7728467153284672,0.7984917043740574,0.8320117148489755
20,median,0.1,0.8392931682203979,0.8453815261044176,0.7847157502329916,0.8139197680038666,0.8320117148489755
21,median,0.15,0.8551856216853271,0.8634739099356683,0.8007954922108055,0.8309544282029234,0.8320117148489755
22,median,0.2,0.8685034439574202,0.8797106966121051,0.8151675485008818,0.8462101794214574,0.8320117148489755
23,median,0.25,0.878109868091501,0.8912423625254583,0.8253489249339871,0.8570309439874657,0.8320117148489755
24,median,0.3,0.8903398926654741,0.9049265341400173,0.841978287092883,0.8723182670277025,0.8320117148489755
25,median,0.35000000000000003,0.9007898285494125,0.9144434222631095,0.8580060422960725,0.8853262079714985,0.8320117148489755
26,median,0.4,0.912753078689209,0.9217306757413709,0.880631676730144,0.9007125890736342,0.8320117148489755
27,median,0.45,0.9219034608378871,0.9287558079504388,0.8977045908183633,0.9129662522202486,0.8320117148489755
28,median,0.5,0.9303781617831205,0.9353070175438597,0.9142550911039657,0.9246612466124661,0.8320117148489755
29,median,0.55,0.9365609348914858,0.9389312977099237,0.9280325014509576,0.9334500875656743,0.8320117148489755
30,median,0.6,0.9461490294301816,0.946119307248236,0.9436980166346769,0.9449071108263933,0.8320117148489755
31,median,0.65,0.9567084078711986,0.9554455445544554,0.9588360539389638,0.957137796670209,0.8320117148489755
32,median,0.7000000000000001,0.9653589315525877,0.9644549763033176,0.9698173153296267,0.9671287128712871,0.8320117148489755
33,median,0.75,0.971957936905358,0.9731663685152058,0.9766606822262118,0.974910394265233,0.8320117148489755
34,median,0.8,0.9780839073262367,0.9803921568627451,0.9834368530020704,0.9819121447028424,0.8320117148489755
35,median,0.85,0.9849749582637729,0.9865689865689866,0.9914110429447853,0.988984088127295,0.8320117148489755
36,median,0.9,0.9924906132665833,0.9918032786885246,0.9983498349834984,0.9950657894736842,0.8320117148489755
37,median,0.9500000000000001,0.9975,0.996969696969697,1.0,0.9984825493171472,0.8320117148489755
38,min,0.05,0.8147904033746375,0.8092799035854173,0.7767495662232504,0.792681127342482,0.7977032003491751
39,min,0.1,0.8213440935021566,0.8152886115444617,0.7906202723146747,0.8027649769585253,0.7977032003491751
40,min,0.15,0.8274896876841485,0.8193818415969092,0.8066561014263075,0.8129691742533142,0.7977032003491751
41,min,0.2,0.8337507827175955,0.8246731478377473,0.820273424474825,0.8224674022066198,0.7977032003491751
42,min,0.25,0.8405409918183336,0.8293193717277487,0.8360309641097818,0.8326616435955844,0.7977032003491751
43,min,0.3,0.8509838998211091,0.8397647923557515,0.8519761372110365,0.8458263927447714,0.7977032003491751
44,min,0.35000000000000003,0.8574455788865344,0.8482520169035728,0.8648648648648649,0.8564778898370831,0.7977032003491751
45,min,0.4,0.8693383427259445,0.8628899835796388,0.8780284043441938,0.8703933747412008,0.7977032003491751
46,min,0.45,0.8820582877959927,0.8752212389380531,0.8934056007226739,0.8842199374161824,0.7977032003491751
47,min,0.5,0.8930628600050088,0.8868648130393096,0.9064184223419892,0.8965350133268718,0.7977032003491751
48,min,0.55,0.9056761268781303,0.902267818574514,0.9136139967195188,0.9079054604726976,0.7977032003491751
49,min,0.6,0.9189104571070758,0.9181818181818182,0.9243441122635754,0.9212526603830952,0.7977032003491751
50,min,0.65,0.9305903398926655,0.9358600583090378,0.9237410071942446,0.9297610427226647,0.7977032003491751
51,min,0.7000000000000001,0.929465776293823,0.9318377911993098,0.9230769230769231,0.927436668097896,0.7977032003491751
52,min,0.75,0.927391086629945,0.9290187891440501,0.9203722854188211,0.9246753246753247,0.7977032003491751
53,min,0.8,0.9292423293675642,0.9281129653401797,0.926923076923077,0.927517639512508,0.7977032003491751
54,min,0.85,0.9257095158597662,0.9273356401384083,0.9193825042881647,0.9233419465977606,0.7977032003491751
55,min,0.9,0.934918648310388,0.9378238341968912,0.9282051282051282,0.9329896907216495,0.7977032003491751
56,min,0.9500000000000001,0.9375,0.9432989690721649,0.9289340101522843,0.9360613810741688,0.7977032003491751
57,max,0.05,0.8153176904824677,0.8093492208982584,0.7732049036777583,0.7908643081056874,0.8212077139554173
58,max,0.1,0.8255182969250034,0.825615763546798,0.7766450417052827,0.8003820439350525,0.8212077139554173
59,max,0.15,0.8408956982911019,0.8480253878702397,0.7874918140144074,0.8166383701188455,0.8212077139554173
60,max,0.2,0.853788353162179,0.8665141113653699,0.7955182072829131,0.8294998174516247,0.8212077139554173
61,max,0.25,0.8637502087159793,0.881530234471411,0.8023212280044927,0.840062720501764,0.8212077139554173
62,max,0.3,0.8728085867620752,0.8943850267379679,0.8089480048367593,0.8495238095238096,0.8212077139554173
63,max,0.35000000000000003,0.8840300520130996,0.9070208728652751,0.8248490077653149,0.8639855399909625,0.8212077139554173
64,max,0.4,0.8962638280108537,0.9162884518406454,0.845903165735568,0.8796901476640039,0.8212077139554173
65,max,0.45,0.9048269581056466,0.9258463191832348,0.8602096854717923,0.8918219461697723,0.8212077139554173
66,max,0.5,0.9130979213623842,0.934757505773672,0.8737182946573124,0.903207810320781,0.8212077139554173
67,max,0.55,0.9232053422370617,0.9414664202094886,0.8940901111761264,0.9171668667466987,0.8212077139554173
68,max,0.6,0.9351909830933,0.9500998003992016,0.9153846153846154,0.9324191968658179,0.8212077139554173
69,max,0.65,0.9459749552772808,0.9585454545454546,0.93342776203966,0.9458198780050233,0.8212077139554173
70,max,0.7000000000000001,0.9582637729549248,0.9683441558441559,0.9513556618819776,0.9597747385358005,0.8212077139554173
71,max,0.75,0.9629444166249375,0.9725118483412323,0.957983193277311,0.9651928504233303,0.8212077139554173
72,max,0.8,0.9705698184095178,0.9790518191841234,0.9694323144104804,0.9742183214481623,0.8212077139554173
73,max,0.85,0.9791318864774624,0.9879356568364611,0.9787516600265604,0.9833222148098733,0.8212077139554173
74,max,0.9,0.9874843554443054,0.9886363636363636,0.9950980392156863,0.99185667752443,0.8212077139554173
75,max,0.9500000000000001,0.9975,0.9975,1.0,0.9987484355444305,0.8212077139554173
