,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.7760079641612743,0.5545977011494253,0.7338403041825095,0.6317512274959084,0.7805005434393615
1,avg,0.1,0.7856016815554387,0.5692541856925418,0.749498997995992,0.6470588235294118,0.7805005434393615
2,avg,0.15,0.7963272120200334,0.5762987012987013,0.7717391304347826,0.6598513011152416,0.7805005434393615
3,avg,0.2,0.8049645390070922,0.5856643356643356,0.7827102803738317,0.67,0.7805005434393615
4,avg,0.25,0.8114754098360656,0.5924528301886792,0.7909319899244333,0.6774541531823085,0.7805005434393615
5,avg,0.3,0.822972972972973,0.6081632653061224,0.8097826086956522,0.6946386946386947,0.7805005434393615
6,avg,0.35000000000000003,0.8356363636363636,0.6233183856502242,0.8273809523809523,0.710997442455243,0.7805005434393615
7,avg,0.4,0.8494877856579984,0.6428571428571429,0.8501628664495114,0.7321178120617111,0.7805005434393615
8,avg,0.45,0.8624247635425624,0.6545961002785515,0.8671586715867159,0.746031746031746,0.7805005434393615
9,avg,0.5,0.8732261116367077,0.6655948553054662,0.8734177215189873,0.7554744525547445,0.7805005434393615
10,avg,0.55,0.8802521008403361,0.6832740213523132,0.8847926267281107,0.7710843373493976,0.7805005434393615
11,avg,0.6,0.8971631205673759,0.7195121951219512,0.9076923076923077,0.8027210884353742,0.7805005434393615
12,avg,0.65,0.9027027027027027,0.7327188940092166,0.9190751445086706,0.8153846153846154,0.7805005434393615
13,avg,0.7000000000000001,0.905511811023622,0.7461928934010152,0.9363057324840764,0.8305084745762712,0.7805005434393615
14,avg,0.75,0.9035916824196597,0.7514450867052023,0.9420289855072463,0.8360128617363344,0.7805005434393615
15,avg,0.8,0.9101654846335697,0.7718120805369127,0.9663865546218487,0.8582089552238806,0.7805005434393615
16,avg,0.85,0.9276729559748428,0.8130841121495327,0.9666666666666667,0.883248730964467,0.7805005434393615
17,avg,0.9,0.9575471698113207,0.8771929824561403,0.9615384615384616,0.9174311926605505,0.7805005434393615
18,avg,0.9500000000000001,0.9905660377358491,0.9166666666666666,1.0,0.9565217391304348,0.7805005434393615
19,median,0.05,0.7755102040816326,0.5568181818181818,0.7382297551789078,0.6348178137651822,0.7950797074570927
20,median,0.1,0.7845507094062008,0.5641025641025641,0.7555555555555555,0.6459412780656304,0.7950797074570927
21,median,0.15,0.7941012799109627,0.5780998389694042,0.7687366167023555,0.6599264705882353,0.7950797074570927
22,median,0.2,0.806146572104019,0.5856643356643356,0.7863849765258216,0.6713426853707415,0.7950797074570927
23,median,0.25,0.8190416141235813,0.5950095969289827,0.8031088082901554,0.6835722160970231,0.7950797074570927
24,median,0.3,0.8304054054054054,0.6140724946695096,0.8044692737430168,0.6964933494558646,0.7950797074570927
25,median,0.35000000000000003,0.8392727272727273,0.6258823529411764,0.8109756097560976,0.7065073041168659,0.7950797074570927
26,median,0.4,0.8526398739164697,0.6336898395721925,0.8257839721254355,0.7170953101361573,0.7950797074570927
27,median,0.45,0.8693035253654342,0.658307210031348,0.8300395256916996,0.7342657342657343,0.7950797074570927
28,median,0.5,0.8855250709555346,0.6743295019157088,0.8301886792452831,0.7441860465116279,0.7950797074570927
29,median,0.55,0.9065126050420168,0.7183098591549296,0.8406593406593407,0.7746835443037975,0.7950797074570927
30,median,0.6,0.9184397163120568,0.7430167597765364,0.8525641025641025,0.7940298507462686,0.7950797074570927
31,median,0.65,0.9297297297297298,0.7793103448275862,0.849624060150376,0.8129496402877698,0.7950797074570927
32,median,0.7000000000000001,0.9448818897637795,0.8165137614678899,0.8557692307692307,0.8356807511737089,0.7950797074570927
33,median,0.75,0.9489603024574669,0.8314606741573034,0.8604651162790697,0.8457142857142858,0.7950797074570927
34,median,0.8,0.9550827423167849,0.85,0.8360655737704918,0.8429752066115702,0.7950797074570927
35,median,0.85,0.9622641509433962,0.85,0.85,0.85,0.7950797074570927
36,median,0.9,0.9764150943396226,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.7950797074570927
37,median,0.9500000000000001,0.9811320754716981,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.7950797074570927
38,min,0.05,0.7685415629666501,0.5059347181008902,0.7209302325581395,0.5945945945945946,0.7076485861930593
39,min,0.1,0.7703625853914872,0.4412751677852349,0.7166212534059946,0.5462097611630322,0.7076485861930593
40,min,0.15,0.775180856983862,0.3632887189292543,0.7279693486590039,0.4846938775510204,0.7076485861930593
41,min,0.2,0.776595744680851,0.25,0.7115384615384616,0.37,0.7076485861930593
42,min,0.25,0.7805800756620429,0.09510869565217392,0.7,0.1674641148325359,0.7076485861930593
43,min,0.3,0.7837837837837838,0.04229607250755287,0.8235294117647058,0.08045977011494253,0.7076485861930593
44,min,0.35000000000000003,0.7825454545454545,0.04516129032258064,0.8235294117647058,0.0856269113149847,0.7076485861930593
45,min,0.4,0.7840819542947203,0.04912280701754386,0.8235294117647058,0.09271523178807947,0.7076485861930593
46,min,0.45,0.7850386930352536,0.05363984674329502,0.8235294117647058,0.10071942446043165,0.7076485861930593
47,min,0.5,0.7899716177861873,0.060085836909871244,0.8235294117647058,0.112,0.7076485861930593
48,min,0.55,0.7888655462184874,0.0660377358490566,0.8235294117647058,0.1222707423580786,0.7076485861930593
49,min,0.6,0.7919621749408984,0.0748663101604278,0.8235294117647058,0.13725490196078433,0.7076485861930593
50,min,0.65,0.7918918918918919,0.08484848484848485,0.8235294117647058,0.15384615384615385,0.7076485861930593
51,min,0.7000000000000001,0.7952755905511811,0.09929078014184398,0.8235294117647058,0.17721518987341772,0.7076485861930593
52,min,0.75,0.7939508506616257,0.11666666666666667,0.8235294117647058,0.20437956204379562,0.7076485861930593
53,min,0.8,0.7990543735224587,0.14583333333333334,0.8235294117647058,0.24778761061946902,0.7076485861930593
54,min,0.85,0.8050314465408805,0.1917808219178082,0.8235294117647058,0.3111111111111111,0.7076485861930593
55,min,0.9,0.7877358490566038,0.25,0.8235294117647058,0.3835616438356164,0.7076485861930593
56,min,0.9500000000000001,0.7735849056603774,0.4,0.8235294117647058,0.5384615384615384,0.7076485861930593
57,max,0.05,0.7670482827277252,0.547752808988764,0.7276119402985075,0.625,0.7830428986399154
58,max,0.1,0.7724645296899633,0.5480059084194978,0.7449799196787149,0.6314893617021277,0.7830428986399154
59,max,0.15,0.776850306065665,0.5489891135303266,0.7607758620689655,0.6377597109304426,0.7830428986399154
60,max,0.2,0.7890070921985816,0.5667215815485996,0.7853881278538812,0.6583732057416268,0.7830428986399154
61,max,0.25,0.7976040353089533,0.5746527777777778,0.8132678132678133,0.6734486266531028,0.7830428986399154
62,max,0.3,0.8013513513513514,0.5777777777777777,0.8253968253968254,0.6797385620915033,0.7830428986399154
63,max,0.35000000000000003,0.8181818181818182,0.6053169734151329,0.8385269121813032,0.7030878859857482,0.7830428986399154
64,max,0.4,0.8297872340425532,0.6143187066974596,0.8444444444444444,0.7112299465240641,0.7830428986399154
65,max,0.45,0.8392089423903697,0.6256544502617801,0.8445229681978799,0.718796992481203,0.7830428986399154
66,max,0.5,0.8514664143803217,0.6409495548961425,0.8571428571428571,0.733446519524618,0.7830428986399154
67,max,0.55,0.8739495798319328,0.6877192982456141,0.8634361233480177,0.765625,0.7830428986399154
68,max,0.6,0.8959810874704491,0.7213114754098361,0.8979591836734694,0.8,0.7830428986399154
69,max,0.65,0.9108108108108108,0.7474226804123711,0.8950617283950617,0.8146067415730337,0.7830428986399154
70,max,0.7000000000000001,0.9354330708661417,0.7986577181208053,0.9153846153846154,0.8530465949820788,0.7830428986399154
71,max,0.75,0.9584120982986768,0.865979381443299,0.9032258064516129,0.8842105263157894,0.7830428986399154
72,max,0.8,0.9739952718676123,0.9019607843137255,0.8846153846153846,0.8932038834951457,0.7830428986399154
73,max,0.85,0.9716981132075472,0.8571428571428571,0.75,0.8,0.7830428986399154
74,max,0.9,0.9858490566037735,1.0,0.5,0.6666666666666666,0.7830428986399154
75,max,0.9500000000000001,0.9905660377358491,0.0,0.0,0.0,0.7830428986399154
