,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.9992982456140351,1.0,0.9986013986013986,0.9993002099370188,0.8999454191033138
1,avg,0.1,0.9992592592592593,1.0,0.9985185185185185,0.9992587101556709,0.8999454191033138
2,avg,0.15,1.0,1.0,1.0,1.0,0.8999454191033138
3,avg,0.2,1.0,1.0,1.0,1.0,0.8999454191033138
4,avg,0.25,1.0,1.0,1.0,1.0,0.8999454191033138
5,avg,0.3,1.0,1.0,1.0,1.0,0.8999454191033138
6,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.8999454191033138
7,avg,0.4,1.0,1.0,1.0,1.0,0.8999454191033138
8,avg,0.45,1.0,1.0,1.0,1.0,0.8999454191033138
9,avg,0.5,1.0,1.0,1.0,1.0,0.8999454191033138
10,avg,0.55,1.0,1.0,1.0,1.0,0.8999454191033138
11,avg,0.6,1.0,1.0,1.0,1.0,0.8999454191033138
12,avg,0.65,1.0,1.0,1.0,1.0,0.8999454191033138
13,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.8999454191033138
14,avg,0.75,1.0,1.0,1.0,1.0,0.8999454191033138
15,avg,0.8,1.0,1.0,1.0,1.0,0.8999454191033138
16,avg,0.85,1.0,1.0,1.0,1.0,0.8999454191033138
17,avg,0.9,1.0,1.0,1.0,1.0,0.8999454191033138
18,avg,0.9500000000000001,1.0,0.0,0.0,0.0,0.8999454191033138
19,median,0.05,0.9992982456140351,1.0,0.9986023759608665,0.9993006993006993,0.8999639376218325
20,median,0.1,0.9996296296296296,1.0,0.999259807549963,0.9996297667530544,0.8999639376218325
21,median,0.15,1.0,1.0,1.0,1.0,0.8999639376218325
22,median,0.2,1.0,1.0,1.0,1.0,0.8999639376218325
23,median,0.25,1.0,1.0,1.0,1.0,0.8999639376218325
24,median,0.3,1.0,1.0,1.0,1.0,0.8999639376218325
25,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.8999639376218325
26,median,0.4,1.0,1.0,1.0,1.0,0.8999639376218325
27,median,0.45,1.0,1.0,1.0,1.0,0.8999639376218325
28,median,0.5,1.0,1.0,1.0,1.0,0.8999639376218325
29,median,0.55,1.0,1.0,1.0,1.0,0.8999639376218325
30,median,0.6,1.0,1.0,1.0,1.0,0.8999639376218325
31,median,0.65,1.0,1.0,1.0,1.0,0.8999639376218325
32,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.8999639376218325
33,median,0.75,1.0,1.0,1.0,1.0,0.8999639376218325
34,median,0.8,1.0,1.0,1.0,1.0,0.8999639376218325
35,median,0.85,1.0,1.0,1.0,1.0,0.8999639376218325
36,median,0.9,1.0,1.0,1.0,1.0,0.8999639376218325
37,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.8999639376218325
38,min,0.05,0.9968421052631579,0.9978902953586498,0.9957894736842106,0.9968387776606955,0.8968902713485918
39,min,0.1,0.997037037037037,0.9977695167286246,0.9962880475129918,0.9970282317979198,0.8968902713485918
40,min,0.15,0.9972549019607844,0.998422712933754,0.996066089693155,0.9972430090586846,0.8968902713485918
41,min,0.2,0.9970833333333333,0.9983179142136249,0.9958053691275168,0.997060058798824,0.8968902713485918
42,min,0.25,0.9968888888888889,0.998211091234347,0.9955396966993756,0.9968736042876284,0.8968902713485918
43,min,0.3,0.9966666666666667,0.9980769230769231,0.9952061361457335,0.9966394623139703,0.8968902713485918
44,min,0.35000000000000003,0.9964102564102564,0.9979144942648592,0.9948024948024948,0.9963560645497137,0.8968902713485918
45,min,0.4,0.9961111111111111,0.9976905311778291,0.9942462600690449,0.9959654178674352,0.8968902713485918
46,min,0.45,0.9957575757575757,0.9975,0.9937733499377335,0.9956331877729258,0.8968902713485918
47,min,0.5,0.9953333333333333,0.9972527472527473,0.9931600547195623,0.9952021932830706,0.8968902713485918
48,min,0.55,0.9955555555555555,0.996937212863706,0.9938931297709923,0.9954128440366973,0.8968902713485918
49,min,0.6,0.995,0.9965156794425087,0.9930555555555556,0.9947826086956522,0.8968902713485918
50,min,0.65,0.9942857142857143,0.996,0.9920318725099602,0.9940119760479041,0.8968902713485918
51,min,0.7000000000000001,0.9955555555555555,0.9953810623556582,0.9953810623556582,0.9953810623556582,0.8968902713485918
52,min,0.75,0.996,0.9943661971830986,0.9971751412429378,0.995768688293371,0.8968902713485918
53,min,0.8,0.9966666666666667,0.9965397923875432,0.9965397923875432,0.9965397923875432,0.8968902713485918
54,min,0.85,0.9977777777777778,0.9955156950672646,1.0,0.9977528089887641,0.8968902713485918
55,min,0.9,1.0,1.0,1.0,1.0,0.8968902713485918
56,min,0.9500000000000001,1.0,1.0,1.0,1.0,0.8968902713485918
57,max,0.05,0.9933333333333333,0.9950842696629213,0.9916025192442267,0.9933403434980722,0.8961779532014826
58,max,0.1,0.9933333333333333,0.9948032665181886,0.9918578830495929,0.9933283914010378,0.8961779532014826
59,max,0.15,0.9937254901960785,0.9952904238618524,0.9921752738654147,0.9937304075235109,0.8961779532014826
60,max,0.2,0.9941666666666666,0.9950207468879668,0.9933719966859983,0.9941956882255389,0.8961779532014826
61,max,0.25,0.9937777777777778,0.9946524064171123,0.9928825622775801,0.993766696349065,0.8961779532014826
62,max,0.3,0.9933333333333333,0.9943019943019943,0.9924170616113744,0.9933586337760911,0.8961779532014826
63,max,0.35000000000000003,0.9933333333333333,0.9948770491803278,0.9918283963227783,0.9933503836317136,0.8961779532014826
64,max,0.4,0.9938888888888889,0.9955703211517165,0.9922737306843267,0.9939192924267551,0.8961779532014826
65,max,0.45,0.9939393939393939,0.9964497041420118,0.9917550058892816,0.9940968122786304,0.8961779532014826
66,max,0.5,0.9933333333333333,0.99609375,0.9909326424870466,0.9935064935064936,0.8961779532014826
67,max,0.55,0.9948148148148148,0.9985358711566618,0.9912790697674418,0.9948942377826404,0.8961779532014826
68,max,0.6,0.9941666666666666,0.99836867862969,0.9902912621359223,0.9943135662063363,0.8961779532014826
69,max,0.65,0.9961904761904762,1.0,0.9926470588235294,0.996309963099631,0.8961779532014826
70,max,0.7000000000000001,0.9988888888888889,1.0,0.9978632478632479,0.9989304812834224,0.8961779532014826
71,max,0.75,1.0,1.0,1.0,1.0,0.8961779532014826
72,max,0.8,1.0,1.0,1.0,1.0,0.8961779532014826
73,max,0.85,1.0,1.0,1.0,1.0,0.8961779532014826
74,max,0.9,1.0,1.0,1.0,1.0,0.8961779532014826
75,max,0.9500000000000001,1.0,1.0,1.0,1.0,0.8961779532014826
