,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.8794082125603865,0.8921590090641518,0.7327618657280766,0.7837179074825087,0.866184824872574
1,avg,0.1,0.8964176440591535,0.900562674944193,0.7527843036293547,0.801209384644311,0.866184824872574
2,avg,0.15,0.9128028615779172,0.9124736186965597,0.7686680474890889,0.8166646518516468,0.866184824872574
3,avg,0.2,0.9257081391179635,0.9219512683074624,0.7833474787956332,0.8292724104728758,0.866184824872574
4,avg,0.25,0.9380449747590638,0.9314983494316162,0.7969187892361421,0.8414214347271299,0.866184824872574
5,avg,0.3,0.9486969349287002,0.9423498709029626,0.8141710150610316,0.856128850869225,0.866184824872574
6,avg,0.35000000000000003,0.9571088165210484,0.9469700631608069,0.8249507260719859,0.8640302175738289,0.866184824872574
7,avg,0.4,0.9644325461325175,0.9529852855024633,0.8394303998196782,0.8751249240999208,0.866184824872574
8,avg,0.45,0.969232373800584,0.9612332983213339,0.8383661839391296,0.874510439394711,0.866184824872574
9,avg,0.5,0.9737264800367141,0.967018982415678,0.8390465434865497,0.8794034758944077,0.866184824872574
10,avg,0.55,0.9776899541050484,0.9765656614136528,0.8392126873754008,0.8798439149673983,0.866184824872574
11,avg,0.6,0.9800659687365553,0.974575495353002,0.8226501884188184,0.8640582554018683,0.866184824872574
12,avg,0.65,0.9849205048352729,0.9833118172022431,0.830053829487512,0.8707646269625248,0.866184824872574
13,avg,0.7000000000000001,0.9879541108986616,0.9845962811187399,0.8478242509449144,0.8851013802308498,0.866184824872574
14,avg,0.75,0.9889857732905002,0.9836580020870438,0.8477884976155369,0.8861604472728087,0.866184824872574
15,avg,0.8,0.9908230570691139,0.8400326405610372,0.7375386835926181,0.7504116377458018,0.866184824872574
16,avg,0.85,0.9919694072657744,0.6937157242322972,0.7090943965943967,0.7009137711046375,0.866184824872574
17,avg,0.9,0.9959862385321101,0.8308298626767412,0.8266897402235748,0.828725961483532,0.866184824872574
18,avg,0.9500000000000001,0.9988532110091743,0.99956369982548,0.9880952380952381,0.9936840984130365,0.866184824872574
19,median,0.05,0.8771739130434782,0.8937372140770513,0.7296150633139523,0.7804970456697232,0.8571072641345332
20,median,0.1,0.8896608873023968,0.9028165121183435,0.7473820661039713,0.7961880262700501,0.8571072641345332
21,median,0.15,0.9011270837551462,0.9084586826457998,0.7549433885337731,0.8028602532937631,0.8571072641345332
22,median,0.2,0.9124417353890283,0.9132128586634389,0.763558900812163,0.8098111525165155,0.8571072641345332
23,median,0.25,0.920911733210953,0.9190880924764722,0.7718629988862297,0.8169518510046047,0.8571072641345332
24,median,0.3,0.9314046877561055,0.9270620275896209,0.7840896423334748,0.8279967419333362,0.8571072641345332
25,median,0.35000000000000003,0.9386638425558204,0.9313811027428259,0.791664498850709,0.8335566826731251,0.8571072641345332
26,median,0.4,0.9467444306339038,0.9340327874891035,0.8013518958845601,0.8408988452595144,0.8571072641345332
27,median,0.45,0.9533792240300375,0.9421143008787313,0.817435879345042,0.8546401288155782,0.8571072641345332
28,median,0.5,0.9604176227627352,0.9449954360527427,0.8308344305711458,0.8646506357158054,0.8571072641345332
29,median,0.55,0.9655787863335034,0.9432973956257694,0.8287579720842643,0.8627086505989494,0.8571072641345332
30,median,0.6,0.9714613509249964,0.955970418023351,0.8382315490604949,0.8722402699794249,0.8571072641345332
31,median,0.65,0.975741681691526,0.9640065318348464,0.8428891723917635,0.8737682024726842,0.8571072641345332
32,median,0.7000000000000001,0.9782026768642448,0.972323271740458,0.8192108741986902,0.8509390289003559,0.8571072641345332
33,median,0.75,0.984396512161542,0.9819260761588667,0.8572904766255152,0.8947275726762353,0.8571072641345332
34,median,0.8,0.9885288213363923,0.9813777970851125,0.856048740105947,0.8942375588615751,0.8571072641345332
35,median,0.85,0.9912045889101339,0.8324272381711536,0.7796573166904001,0.7933135680558143,0.8571072641345332
36,median,0.9,0.9942660550458715,0.774845115726173,0.8272849462365591,0.7954465236144811,0.8571072641345332
37,median,0.9500000000000001,0.9988532110091743,0.9996705107084021,0.9976470588235294,0.9986516875856719,0.8571072641345332
38,min,0.05,0.8628019323671497,0.8668092493303704,0.7107816821430796,0.7593759945171742,0.7794663671959183
39,min,0.1,0.8642274349821519,0.8685653417475369,0.7158891069379851,0.7630343528912679,0.7794663671959183
40,min,0.15,0.8644799892015927,0.8681131757169124,0.7149143842772683,0.7617038155794943,0.7794663671959183
41,min,0.2,0.8643958408031552,0.8672207391692737,0.7134343377615427,0.7609129350869642,0.7794663671959183
42,min,0.25,0.8661465504053847,0.8731972376637568,0.712394936361469,0.7623903918931344,0.7794663671959183
43,min,0.3,0.8656777577446321,0.8707411422935821,0.7121398380610187,0.7600965873340737,0.7794663671959183
