,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.7265625,0.7457627118644068,0.6875,0.7154471544715447,0.757389854851916
1,avg,0.1,0.7272727272727273,0.75,0.6885245901639344,0.717948717948718,0.757389854851916
2,avg,0.15,0.7456140350877193,0.7647058823529411,0.6964285714285714,0.7289719626168224,0.757389854851916
3,avg,0.2,0.7592592592592593,0.7708333333333334,0.7115384615384616,0.74,0.757389854851916
4,avg,0.25,0.7722772277227723,0.7954545454545454,0.7142857142857143,0.7526881720430108,0.757389854851916
5,avg,0.3,0.7872340425531915,0.813953488372093,0.7446808510638298,0.7777777777777778,0.757389854851916
6,avg,0.35000000000000003,0.7840909090909091,0.8157894736842105,0.7209302325581395,0.7654320987654321,0.757389854851916
7,avg,0.4,0.8271604938271605,0.8611111111111112,0.775,0.8157894736842105,0.757389854851916
8,avg,0.45,0.8378378378378378,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.757389854851916
9,avg,0.5,0.8507462686567164,0.8709677419354839,0.8181818181818182,0.84375,0.757389854851916
10,avg,0.55,0.8524590163934426,0.8928571428571429,0.8064516129032258,0.847457627118644,0.757389854851916
11,avg,0.6,0.8703703703703703,0.92,0.8214285714285714,0.8679245283018868,0.757389854851916
12,avg,0.65,0.8723404255319149,0.9,0.8181818181818182,0.8571428571428571,0.757389854851916
13,avg,0.7000000000000001,0.926829268292683,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.757389854851916
14,avg,0.75,0.9117647058823529,0.9285714285714286,0.8666666666666667,0.896551724137931,0.757389854851916
15,avg,0.8,0.9259259259259259,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.757389854851916
16,avg,0.85,0.9047619047619048,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.757389854851916
17,avg,0.9,0.9285714285714286,1.0,0.8888888888888888,0.9411764705882353,0.757389854851916
18,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.757389854851916
19,median,0.05,0.7265625,0.7288135593220338,0.6935483870967742,0.7107438016528925,0.7671166532033583
20,median,0.1,0.7272727272727273,0.7272727272727273,0.6896551724137931,0.7079646017699115,0.7671166532033583
21,median,0.15,0.7456140350877193,0.7450980392156863,0.7037037037037037,0.7238095238095238,0.7671166532033583
22,median,0.2,0.7592592592592593,0.7755102040816326,0.7169811320754716,0.7450980392156863,0.7671166532033583
