,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.7293762575452716,0.7472613458528952,0.6636553161917998,0.7029812292970188,0.7350950072532183
1,avg,0.1,0.7391150442477876,0.7581967213114754,0.6766642282370153,0.7151140316969463,0.7350950072532183
2,avg,0.15,0.7458770614692654,0.7644521138912856,0.686289697908598,0.723265306122449,0.7350950072532183
3,avg,0.2,0.7610513739545998,0.7758620689655172,0.7077814569536424,0.7402597402597403,0.7350950072532183
4,avg,0.25,0.7769753610875106,0.7767612076852699,0.7513274336283186,0.7638326585695007,0.7350950072532183
5,avg,0.3,0.7874374146563495,0.781042654028436,0.7773584905660378,0.7791962174940898,0.7350950072532183
6,avg,0.35000000000000003,0.7975490196078432,0.7869346733668342,0.7957317073170732,0.7913087417887822,0.7350950072532183
7,avg,0.4,0.8056293149229952,0.7945652173913044,0.8050660792951542,0.799781181619256,0.7350950072532183
8,avg,0.45,0.8209733487833141,0.8110979929161747,0.8217703349282297,0.8163992869875223,0.7350950072532183
9,avg,0.5,0.8304652644996813,0.8246505717916137,0.8352638352638353,0.829923273657289,0.7350950072532183
10,avg,0.55,0.8421797593772116,0.832409972299169,0.8549075391180654,0.8435087719298245,0.7350950072532183
11,avg,0.6,0.839968152866242,0.8368580060422961,0.8562596599690881,0.8464476699770818,0.7350950072532183
12,avg,0.65,0.8434940855323021,0.8401976935749588,0.8717948717948718,0.8557046979865772,0.7350950072532183
13,avg,0.7000000000000001,0.8471337579617835,0.8388888888888889,0.888235294117647,0.8628571428571429,0.7350950072532183
14,avg,0.75,0.8484076433121019,0.8414376321353065,0.9004524886877828,0.8699453551912568,0.7350950072532183
15,avg,0.8,0.8630573248407644,0.8574938574938575,0.9257294429708223,0.8903061224489796,0.7350950072532183
16,avg,0.85,0.8726114649681529,0.8803680981595092,0.9318181818181818,0.9053627760252366,0.7350950072532183
17,avg,0.9,0.8757961783439491,0.8803418803418803,0.9493087557603687,0.9135254988913526,0.7350950072532183
18,avg,0.9500000000000001,0.8789808917197452,0.875,0.9739130434782609,0.9218106995884774,0.7350950072532183
19,median,0.05,0.7283702213279678,0.7490102929532858,0.6574009728978457,0.7002220577350111,0.7336288235954551
20,median,0.1,0.7373451327433629,0.7502008032128514,0.6842490842490843,0.7157088122605364,0.7336288235954551
21,median,0.15,0.7526236881559221,0.762063227953411,0.710077519379845,0.7351524879614767,0.7336288235954551
22,median,0.2,0.7642373556352051,0.7697022767075307,0.7276490066225165,0.7480851063829788,0.7336288235954551
23,median,0.25,0.7765505522514868,0.7782888684452622,0.7480106100795756,0.7628494138863842,0.7336288235954551
24,median,0.3,0.784251251706873,0.7876712328767124,0.7580037664783428,0.772552783109405,0.7336288235954551
25,median,0.35000000000000003,0.796078431372549,0.7931392931392931,0.7785714285714286,0.7857878475798146,0.7336288235954551
26,median,0.4,0.8050982474774296,0.797164667393675,0.8015350877192983,0.7993439037725533,0.7336288235954551
27,median,0.45,0.813441483198146,0.8072009291521487,0.8166862514688602,0.8119158878504673,0.7336288235954551
28,median,0.5,0.8240917782026769,0.8178438661710037,0.8365019011406845,0.8270676691729323,0.7336288235954551
29,median,0.55,0.835102618542109,0.8306451612903226,0.8524137931034482,0.8413886997957795,0.7336288235954551
30,median,0.6,0.8447452229299363,0.8362831858407079,0.8709677419354839,0.8532731376975169,0.7336288235954551
31,median,0.65,0.8516833484986351,0.8391376451077943,0.8846153846153846,0.8612765957446809,0.7336288235954551
32,median,0.7000000000000001,0.8460721868365181,0.8395522388059702,0.8840864440078585,0.861244019138756,0.7336288235954551
33,median,0.75,0.8484076433121019,0.8492569002123143,0.8928571428571429,0.8705114254624592,0.7336288235954551
34,median,0.8,0.8598726114649682,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.7336288235954551
35,median,0.85,0.8598726114649682,0.8612903225806452,0.9206896551724137,0.89,0.7336288235954551
36,median,0.9,0.8821656050955414,0.8779342723004695,0.9444444444444444,0.9099756690997567,0.7336288235954551
37,median,0.9500000000000001,0.8535031847133758,0.8611111111111112,0.9207920792079208,0.8899521531100478,0.7336288235954551
38,min,0.05,0.7276995305164319,0.744043043812452,0.6689702833448514,0.7045123726346434,0.7091483954810975
39,min,0.1,0.735929203539823,0.7489845653939886,0.6784400294334069,0.711969111969112,0.7091483954810975
40,min,0.15,0.7417541229385307,0.7549441100601891,0.6848673946957878,0.718200408997955,0.7091483954810975
41,min,0.2,0.7479091995221028,0.765639589169001,0.6821963394342762,0.7215134183897932,0.7091483954810975
42,min,0.25,0.7587085811384877,0.7811244979919679,0.6897163120567376,0.7325800376647834,0.7091483954810975
43,min,0.3,0.7664997724169322,0.7962138084632516,0.6842105263157895,0.7359752959341225,0.7091483954810975
44,min,0.35000000000000003,0.7715686274509804,0.7974388824214202,0.7011258955987717,0.7461873638344226,0.7091483954810975
45,min,0.4,0.77376526818906,0.8023407022106632,0.6924803591470258,0.7433734939759036,0.7091483954810975
46,min,0.45,0.776361529548088,0.8122270742358079,0.6846625766871166,0.7430093209054593,0.7091483954810975
47,min,0.5,0.775653282345443,0.8113821138211382,0.6789115646258503,0.7392592592592593,0.7091483954810975
48,min,0.55,0.7820240622788394,0.8217636022514071,0.6728110599078341,0.7398648648648649,0.7091483954810975
49,min,0.6,0.7802547770700637,0.825503355704698,0.6507936507936508,0.727810650887574,0.7091483954810975
50,min,0.65,0.8070973612374887,0.8261904761904761,0.7139917695473251,0.7660044150110376,0.7091483954810975
51,min,0.7000000000000001,0.8280254777070064,0.8319783197831978,0.7542997542997543,0.7912371134020618,0.7091483954810975
52,min,0.75,0.8356687898089172,0.8551236749116607,0.7333333333333333,0.7895595432300163,0.7091483954810975
53,min,0.8,0.8359872611464968,0.8605769230769231,0.7075098814229249,0.7765726681127982,0.7091483954810975
54,min,0.85,0.8407643312101911,0.8616352201257862,0.7210526315789474,0.7851002865329513,0.7091483954810975
55,min,0.9,0.8407643312101911,0.8877551020408163,0.6904761904761905,0.7767857142857143,0.7091483954810975
56,min,0.9500000000000001,0.8407643312101911,0.875,0.6363636363636364,0.7368421052631579,0.7091483954810975
57,max,0.05,0.7199865861837693,0.7374701670644391,0.6473463687150838,0.6894756415024172,0.6882775930308662
58,max,0.1,0.7238938053097345,0.7399328859060402,0.6523668639053254,0.6933962264150944,0.6882775930308662
59,max,0.15,0.7260119940029985,0.7450450450450451,0.6486274509803922,0.6935010482180294,0.6882775930308662
