,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.9778947368421053,0.9810659186535764,0.9749128919860627,0.9779797273680532,0.8960151231336604
1,avg,0.1,0.9874074074074074,0.9881831610044313,0.9867256637168141,0.9874538745387453,0.8960151231336604
2,avg,0.15,0.9913725490196078,0.9921752738654147,0.990625,0.9913995308835027,0.8960151231336604
3,avg,0.2,0.9920833333333333,0.9917149958574979,0.9925373134328358,0.9921259842519685,0.8960151231336604
4,avg,0.25,0.9928888888888889,0.993025283347864,0.993025283347864,0.993025283347864,0.8960151231336604
5,avg,0.3,0.9933333333333333,0.9927470534904805,0.9945504087193461,0.9936479128856625,0.8960151231336604
6,avg,0.35000000000000003,0.9948717948717949,0.9942196531791907,0.9961389961389961,0.9951783992285439,0.8960151231336604
7,avg,0.4,0.9955555555555555,0.9959100204498977,0.9959100204498977,0.9959100204498977,0.8960151231336604
8,avg,0.45,0.9957575757575757,0.9955898566703418,0.9966887417218543,0.9961389961389961,0.8960151231336604
9,avg,0.5,0.9953333333333333,0.9951749095295537,0.9963768115942029,0.995775497887749,0.8960151231336604
10,avg,0.55,0.997037037037037,0.9959839357429718,0.9986577181208054,0.9973190348525469,0.8960151231336604
11,avg,0.6,0.9966666666666667,0.9953775038520801,0.9984544049459042,0.9969135802469136,0.8960151231336604
12,avg,0.65,0.9990476190476191,0.998211091234347,1.0,0.999104744852283,0.8960151231336604
13,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.8960151231336604
14,avg,0.75,1.0,1.0,1.0,1.0,0.8960151231336604
15,avg,0.8,1.0,1.0,1.0,1.0,0.8960151231336604
16,avg,0.85,1.0,1.0,1.0,1.0,0.8960151231336604
17,avg,0.9,1.0,1.0,1.0,1.0,0.8960151231336604
18,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.8960151231336604
19,median,0.05,0.9782456140350877,0.9817927170868347,0.9749652294853964,0.9783670621074668,0.8974349810091297
20,median,0.1,0.9874074074074074,0.9896449704142012,0.9852724594992637,0.9874538745387453,0.8974349810091297
21,median,0.15,0.9921568627450981,0.9930124223602484,0.9914728682170543,0.9922420480993018,0.8974349810091297
22,median,0.2,0.995,0.995114006514658,0.995114006514658,0.995114006514658,0.8974349810091297
23,median,0.25,0.996,0.9956217162872154,0.9964943032427696,0.9960578186596584,0.8974349810091297
24,median,0.3,0.9961904761904762,0.9962616822429906,0.9962616822429906,0.9962616822429906,0.8974349810091297
25,median,0.35000000000000003,0.9969230769230769,0.9970149253731343,0.9970149253731343,0.9970149253731343,0.8974349810091297
26,median,0.4,0.9977777777777778,0.9978094194961665,0.9978094194961665,0.9978094194961665,0.8974349810091297
