,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.9976617303195635,0.9978354978354979,0.9975845410628019,0.9977021024578029,0.8999003909946146
1,avg,0.1,0.9991769547325103,0.9992406985573273,0.9991474850809889,0.9991931131378994,0.8999003909946146
2,avg,0.15,1.0,1.0,1.0,1.0,0.8999003909946146
3,avg,0.2,1.0,1.0,1.0,1.0,0.8999003909946146
4,avg,0.25,1.0,1.0,1.0,1.0,0.8999003909946146
5,avg,0.3,1.0,1.0,1.0,1.0,0.8999003909946146
6,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.8999003909946146
7,avg,0.4,1.0,1.0,1.0,1.0,0.8999003909946146
8,avg,0.45,1.0,1.0,1.0,1.0,0.8999003909946146
9,avg,0.5,1.0,1.0,1.0,1.0,0.8999003909946146
10,avg,0.55,1.0,1.0,1.0,1.0,0.8999003909946146
11,avg,0.6,1.0,1.0,1.0,1.0,0.8999003909946146
12,avg,0.65,1.0,1.0,1.0,1.0,0.8999003909946146
13,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.8999003909946146
14,avg,0.75,1.0,1.0,1.0,1.0,0.8999003909946146
15,avg,0.8,1.0,1.0,1.0,1.0,0.8999003909946146
16,avg,0.85,1.0,1.0,1.0,1.0,0.8999003909946146
17,avg,0.9,1.0,1.0,1.0,1.0,0.8999003909946146
18,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.8999003909946146
19,median,0.05,0.9976617303195635,0.9978354978354979,0.9976019184652278,0.9977108542355076,0.8999415432579891
20,median,0.1,1.0,1.0,1.0,1.0,0.8999415432579891
21,median,0.15,1.0,1.0,1.0,1.0,0.8999415432579891
22,median,0.2,1.0,1.0,1.0,1.0,0.8999415432579891
23,median,0.25,1.0,1.0,1.0,1.0,0.8999415432579891
24,median,0.3,1.0,1.0,1.0,1.0,0.8999415432579891
25,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.8999415432579891
26,median,0.4,1.0,1.0,1.0,1.0,0.8999415432579891
27,median,0.45,1.0,1.0,1.0,1.0,0.8999415432579891
28,median,0.5,1.0,1.0,1.0,1.0,0.8999415432579891
29,median,0.55,1.0,1.0,1.0,1.0,0.8999415432579891
30,median,0.6,1.0,1.0,1.0,1.0,0.8999415432579891
31,median,0.65,1.0,1.0,1.0,1.0,0.8999415432579891
32,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.8999415432579891
33,median,0.75,1.0,1.0,1.0,1.0,0.8999415432579891
34,median,0.8,1.0,1.0,1.0,1.0,0.8999415432579891
35,median,0.85,1.0,1.0,1.0,1.0,0.8999415432579891
36,median,0.9,1.0,1.0,1.0,1.0,0.8999415432579891
37,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.8999415432579891
38,min,0.05,0.995323460639127,0.995579488262415,0.9951651736159968,0.995354227788042,0.898166664597946
39,min,0.1,0.9967078189300411,0.9968739987027094,0.9965635738831615,0.996712165807879,0.898166664597946
40,min,0.15,0.9973867595818815,0.9976076555023923,0.9972972972972972,0.9974426677048024,0.898166664597946
41,min,0.2,0.9972222222222222,0.9974358974358974,0.9971346704871061,0.9972741497921355,0.898166664597946
42,min,0.25,0.9970384995064165,0.9972677595628415,0.9969418960244649,0.9970921595772252,0.898166664597946
43,min,0.3,0.9968253968253968,0.9970760233918128,0.9967320261437909,0.9968895350940011,0.898166664597946
44,min,0.35000000000000003,0.9977220956719818,0.9979166666666667,0.9976190476190476,0.9977603247903581,0.898166664597946
45,min,0.4,0.9975308641975309,0.9977401129943503,0.9974160206718347,0.9975691962907082,0.898166664597946
46,min,0.45,0.9973082099596231,0.9975490196078431,0.9972222222222222,0.997375287560407,0.898166664597946
47,min,0.5,0.997037037037037,0.9973226238286479,0.9968992248062015,0.9970982815797408,0.898166664597946
48,min,0.55,0.9967105263157895,0.997037037037037,0.9966159052453468,0.9968112244897959,0.898166664597946
49,min,0.6,0.9962962962962963,0.9966159052453468,0.9962962962962963,0.9964371223349676,0.898166664597946
50,min,0.65,0.9978858350951374,0.998015873015873,0.9978632478632479,0.9979331637631778,0.898166664597946
51,min,0.7000000000000001,1.0,1.0,1.0,1.0,0.898166664597946
52,min,0.75,1.0,1.0,1.0,1.0,0.898166664597946
53,min,0.8,1.0,1.0,1.0,1.0,0.898166664597946
54,min,0.85,1.0,1.0,1.0,1.0,0.898166664597946
55,min,0.9,1.0,1.0,1.0,1.0,0.898166664597946
56,min,0.9500000000000001,1.0,1.0,1.0,1.0,0.898166664597946
57,max,0.05,0.9961028838659393,0.9961033267295164,0.9961608154221769,0.9961294106491815,0.8995558606930265
